MaxN

Generated: Wednesday, July 06, 2016 10:16:38

Filename	Frame	Time (mins)	Period	Period time (mins)	OpCode	Tape Reader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
MNCB273_L418.avi	  22421	  12.4686			MNCB273	Molly											Caesionidae	Pterocaesio	tile	37346063	25	No
MNCB273_L418.avi	  87840	  48.8488			MNCB273	Molly											Carangidae	Carangoides	fulvoguttatus	37337037	1	No
MNCB273_L418.avi	  63281	  35.1913			MNCB273	Molly											Chaetodontidae	Chaetodon	auriga	37365019	1	No
MNCB273_L418.avi	  23581	  13.1137			MNCB273	Molly											Gobiidae		sp10		2	No
MNCB273_L418.avi	  14980	   8.3306			MNCB273	Molly											Haemulidae	Diagramma	pictum	37350003	9	No
MNCB273_L418.avi	  59106	  32.8695			MNCB273	Molly											Labridae	Choerodon	cauteroma	37384005	1	No
MNCB273_L418.avi	  75732	  42.1154			MNCB273	Molly											Labridae	Choerodon	cyanodus	37384072	1	Yes
MNCB273_L418.avi	  17495	   9.7292			MNCB273	Molly											Labridae	Choerodon	schoenleinii	37384010	1	No
MNCB273_L418.avi	  82245	  45.7374			MNCB273	Molly											Labridae	Labroides	dimidiatus	37384028	1	No
MNCB273_L418.avi	  87501	  48.6603			MNCB273	Molly											Labridae	Thalassoma	lunare	37384167	3	No
MNCB273_L418.avi	  92935	  51.6822			MNCB273	Molly											Lethrinidae	Lethrinus	nebulosus	37351008	3	Yes
MNCB273_L418.avi	  80978	  45.0328			MNCB273	Molly											Lutjanidae	Lutjanus	carponotatus	37346011	1	No
MNCB273_L418.avi	  61136	  33.9984			MNCB273	Molly											Lutjanidae	Lutjanus	fulviflamma	37346034	2	Yes
MNCB273_L418.avi	  16679	   9.2754			MNCB273	Molly											Lutjanidae	Lutjanus	lemniscatus	37346010	3	Yes
MNCB273_L418.avi	  36375	  20.2286			MNCB273	Molly											Lutjanidae	Lutjanus	russellii	37346065	2	No
MNCB273_L418.avi	   5563	   3.0936			MNCB273	Molly											Mullidae	Parupeneus	barberinoides	37355021	1	No
MNCB273_L418.avi	   8080	   4.4934			MNCB273	Molly											Mullidae	Parupeneus	indicus	37355005	2	No
MNCB273_L418.avi	  82385	  45.8153			MNCB273	Molly											Nemipteridae	Pentapodus	emeryii	37347027	2	Yes
MNCB273_L418.avi	  32771	  18.2243			MNCB273	Molly											Nemipteridae	Scolopsis	monogramma	37347006	2	No
MNCB273_L418.avi	 103980	  57.8245			MNCB273	Molly											Plotosidae	Paraplotosus	butleri	37192020	1	No
MNCB273_L418.avi	  75582	  42.0320			MNCB273	Molly											Pomacanthidae	Pomacanthus	sexstriatus	37365010	1	No
MNCB273_L418.avi	  29954	  16.6578			MNCB273	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	2	Yes
MNCB273_L418.avi	  42168	  23.4501			MNCB273	Molly											Pomacentridae	Dascyllus	trimaculatus	37372075	4	No
MNCB273_L418.avi	 111589	  62.0559			MNCB273	Molly											Pomacentridae	Neopomacentrus	azysron	37372087	9	No
MNCB273_L418.avi	   5714	   3.1776			MNCB273	Molly											Pomacentridae	Neopomacentrus	filamentosus	37372090	2	No
MNCB273_L418.avi	   5843	   3.2494			MNCB273	Molly											Pomacentridae	Pomacentrus	nagasakiensis	37372119	3	No
MNCB273_L418.avi	   6470	   3.5980			MNCB273	Molly											Scaridae	Scarus	ghobban	37386001	1	No
MNCB273_L418.avi	   6217	   3.4573			MNCB273	Molly											Scaridae	Scarus	prasiognathos	37386023	1	No
MNCB273_L418.avi	  75077	  41.7512			MNCB273	Molly											Serranidae	Epinephelus	bilobatus	37311062	2	Yes
MNCB273_L418.avi	  98769	  54.9266			MNCB273	Molly											Serranidae	Epinephelus	fasciatus	37311014	1	Yes
MNCB273_L418.avi	  11204	   6.2307			MNCB273	Molly											Serranidae	Plectropomus	spp		2	No
MNCB276_L513.avi	  61840	  34.3899			MNCB276	Todd											Carangidae	Chanos	Chanos		14	No
MNCB276_L513.avi	  30477	  16.9486			MNCB276	Todd											Carangidae	Gnathanodon	speciosus	37337012	11	Yes
MNCB276_L513.avi	  48394	  26.9125			MNCB276	Todd											Carangidae	Scomberoides	commersonnianus	37337032	3	No
MNCB276_L513.avi	  94103	  52.3318			MNCB276	Todd											Fistulariidae	Fistularia	commersonii	37278001	1	No
MNCB276_L513.avi	 106645	  59.3065			MNCB276	Todd											Lethrinidae	Lethrinus	nebulosus	37351008	2	No
MNCB276_L513.avi	   7222	   4.0162			MNCB276	Todd											Lutjanidae	Symphorus	nematophorus	37346017	1	No
MNCB277_L416.avi	  99271	  55.2058			MNCB277	Todd											Acanthuridae	Acanthurus	dussumieri	37437008	6	No
MNCB277_L416.avi	  15231	   8.4701			MNCB277	Todd											Acanthuridae	Acanthurus	grammoptilus	37437002	1	No
MNCB277_L416.avi	  60922	  33.8794			MNCB277	Todd											Acanthuridae	Ctenochaetus	striatus	37437022	2	No
MNCB277_L416.avi	  93347	  51.9114			MNCB277	Todd											Acanthuridae	Naso	annulatus	37437024	26	No
MNCB277_L416.avi	 103059	  57.3123			MNCB277	Todd											Acanthuridae	Naso	unicornis	37437031	3	No
MNCB277_L416.avi	 110489	  61.4442			MNCB277	Todd											Blenniidae	Meiacanthus	grammistes	37408005	1	No
MNCB277_L416.avi	  96816	  53.8405			MNCB277	Todd											Blenniidae	Plagiotremus	rhinorhynchos	37408004	1	No
MNCB277_L416.avi	  78212	  43.4946			MNCB277	Todd											Carangidae	Carangoides	fulvoguttatus	37337037	1	No
MNCB277_L416.avi	  94511	  52.5587			MNCB277	Todd											Chaetodontidae	Chaetodon	aureofasciatus	37365013	2	No
MNCB277_L416.avi	  18005	  10.0128			MNCB277	Todd											Chaetodontidae	Chaetodon	auriga	37365019	1	No
MNCB277_L416.avi	  62548	  34.7837			MNCB277	Todd											Chaetodontidae	Chaetodon	lunula	37365042	1	No
MNCB277_L416.avi	  40995	  22.7978			MNCB277	Todd											Chaetodontidae	Chaetodon	trifascialis	37365058	2	No
MNCB277_L416.avi	  12347	   6.8663			MNCB277	Todd											Ephippidae	Platax	teira	37362004	2	No
MNCB277_L416.avi	   7259	   4.0368			MNCB277	Todd											Haemulidae	Plectorhinchus	flavomaculatus	37350007	1	No
MNCB277_L416.avi	   9704	   5.3965			MNCB277	Todd											Haemulidae	Plectorhinchus	unicolor	37350013	1	No
MNCB277_L416.avi	  99536	  55.3531			MNCB277	Todd											Kyphosidae	Kyphosus	vaigiensis	37361014	13	No
MNCB277_L416.avi	  74242	  41.2868			MNCB277	Todd											Labridae	Bodianus	axillaris	37384053	1	No
