3D Point and Length Measurements

Generated: Wednesday, July 06, 2016 10:16:38

Filename	Frame	Time (mins)	Period	Period time (mins)	Length (mm)	Precision (mm)	RMS (mm)	Range (mm)	Direction (deg)	Horz. Dir. (deg)	Vert. Dir. (deg)	Mid X (mm)	Mid Y (mm)	Mid Z (mm)	OpCode	Tape Reader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
MNCB272_L511.avi	  14442	   8.0314			211.816	3.552	3.249	2851.087	0.993	8.748	5.447	-39.520	29.641	-2850.659	MNCB272	Molly											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MNCB272_L511.avi	  19083	  10.6123			215.154	7.891	1.801	2027.794	11.921	53.038	11.394	-417.858	-29.289	-1984.058	MNCB272	Molly											Lutjanidae	Lutjanus	fulviflamma	37346034	1	AD	Passing			
MNCB272_L511.avi	  19353	  10.7624			247.492	10.324	6.512	2869.314	13.790	29.284	6.372	659.803	180.101	-2786.609	MNCB272	Molly											Labridae	Choerodon	schoenleinii	37384010	1	AD	Passing			
MNCB272_L511.avi	  20074	  11.1634			236.728	5.851	0.312	2208.646	23.722	35.240	35.451	-888.551	-2.248	-2022.026	MNCB272	Molly											Labridae	Choerodon	cauteroma	37384005	1	AD	Passing			
MNCB272_L511.avi	  21478	  11.9442			144.189	5.558	2.043	2461.099	6.043	21.312	7.711	-142.293	216.510	-2447.424	MNCB272	Molly											Chaetodontidae	Chaetodon	lunula	37365042	1	AD	Passing			
MNCB272_L511.avi	  21496	  11.9542			140.835	7.910	1.516	2362.382	2.624	34.836	3.141	-10.176	107.666	-2359.905	MNCB272	Molly											Chaetodontidae	Chaetodon	lunula	37365042	1	AD	Passing			
MNCB272_L511.avi	  21973	  12.2194				2.132	0.300	1650.645	8.685			-195.895	-139.177	-1633.059	MNCB272	Molly											Pomacentridae	Pomacentrus	nagasakiensis	37372119	1	AD	Passing			
MNCB272_L511.avi	  21978	  12.2222			81.047	4.248	1.318	1627.342	0.429	39.444	3.085	12.160	-0.762	-1627.296	MNCB272	Molly											Pomacentridae	Pomacentrus	nagasakiensis	37372119	1	AD	Passing			
MNCB272_L511.avi	  22003	  12.2361			73.446	1.602	0.630	1285.037	24.204	1.558	0.140	-501.899	-160.178	-1172.076	MNCB272	Molly											Pomacentridae	Pomacentrus	nagasakiensis	37372119	1	AD	Passing			
MNCB272_L511.avi	  25987	  14.4517			148.859	6.448	1.626	1956.071	0.485	42.392	0.430	-10.894	12.490	-1956.001	MNCB272	Molly											Labridae	Halichoeres	melanochir	37384115	1	AD	Passing			
MNCB272_L511.avi	  26747	  14.8743			236.963	17.138	4.007	4137.972	13.525	21.713	8.090	926.504	279.568	-4023.213	MNCB272	Molly											Serranidae	Plectropomus	spp		1	AD	Passing			
MNCB272_L511.avi	  27590	  15.3431			264.031	4.526	2.926	1538.079	13.860	52.837	5.748	-100.335	354.513	-1493.298	MNCB272	Molly											Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
MNCB272_L511.avi	  27629	  15.3648			314.029	5.651	2.115	1626.442	12.051	59.644	2.084	-321.837	108.322	-1590.598	MNCB272	Molly											Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
MNCB272_L511.avi	  27629	  15.3648			301.845	6.072	5.794	1806.017	5.615	48.023	0.999	-73.667	160.608	-1797.353	MNCB272	Molly											Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
MNCB272_L511.avi	  27629	  15.3648			265.444	1.392	1.874	1715.605	8.231	4.553	1.725	122.678	212.778	-1697.932	MNCB272	Molly											Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
MNCB272_L511.avi	  27629	  15.3648			281.023	1.808	2.060	1760.223	12.429	8.784	9.683	187.507	329.198	-1718.969	MNCB272	Molly											Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
MNCB272_L511.avi	  27629	  15.3648			270.493	1.988	0.904	1431.599	24.228	14.074	17.593	497.767	312.019	-1305.507	MNCB272	Molly											Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
MNCB272_L511.avi	  27629	  15.3648			287.708	3.066	1.268	1560.253	12.929	30.321	4.018	6.164	349.046	-1520.697	MNCB272	Molly											Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
MNCB272_L511.avi	  27629	  15.3648			271.820	5.481	3.670	1623.522	12.822	58.827	5.149	-263.756	245.450	-1583.039	MNCB272	Molly											Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
MNCB272_L511.avi	  27634	  15.3676			275.375	1.340	1.130	1763.074	16.186	2.477	10.913	-102.423	480.682	-1693.188	MNCB272	Molly											Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
MNCB272_L511.avi	  27639	  15.3704			291.218	2.427	1.259	1557.682	17.653	22.870	23.165	292.441	370.958	-1484.332	MNCB272	Molly											Carangidae	Gnathanodon	speciosus	37337012	1	AD	Passing			
MNCB272_L511.avi	  30564	  16.9970			38.195	0.774	0.537	941.957	15.614	14.165	47.019	121.009	-222.796	-907.194	MNCB272	Molly											Pomacentridae	Neopomacentrus	filamentosus	37372090	1	AD	Passing			
MNCB272_L511.avi	  40080	  22.2890				2.791	5.103	1915.808	8.776			-289.793	-20.760	-1893.649	MNCB272	Molly											Pomacentridae	Pomacentrus	coelestis	37372111	2	AD	Passing			
MNCB272_L511.avi	  41426	  23.0375			179.331	8.893	2.592	2978.690	26.543	10.065	19.278	-1330.436	-41.820	-2664.730	MNCB272	Molly											Balistidae	Sufflamen	chrysopterum	37465079	1	AD	Passing			
MNCB272_L511.avi	  45521	  25.3148			216.767	3.815	4.541	2589.316	4.462	12.720	23.272	-154.284	129.500	-2581.469	MNCB272	Molly											Acanthuridae	Naso	brevirostris	37437026	1	AD	Passing			
MNCB272_L511.avi	  45566	  25.3398			229.319	7.598	4.471	2834.433	27.711	7.802	12.213	-1183.401	580.333	-2509.340	MNCB272	Molly											Acanthuridae	Naso	brevirostris	37437026	1	AD	Passing			
MNCB272_L511.avi	  47516	  26.4242				1.065	4.698	1085.333	25.816			366.557	-289.431	-979.701	MNCB272	Molly											Serranidae	Epinephelus	fasciatus	37311014	1	AD	Passing			
MNCB272_L511.avi	  55287	  30.7457				20.058	0.455	5136.911	15.064			-889.737	1040.687	-4951.080	MNCB272	Molly											Mullidae	Parupeneus	cyclostomus	37355025	2	AD	Passing			
MNCB272_L511.avi	  56669	  31.5143			202.120	10.698	6.125	3339.125	30.174	0.002	12.663	-1518.148	715.592	-2886.678	MNCB272	Molly											Labridae	Thalassoma	lunare	37384167	1	AD	Passing			
MNCB272_L511.avi	  56669	  31.5143			159.585	9.632	2.440	3034.626	24.615	15.106	0.780	-1212.911	355.618	-2758.865	MNCB272	Molly											Labridae	Thalassoma	lunare	37384167	1	AD	Passing			
MNCB272_L511.avi	  56669	  31.5143			137.553	11.200	1.685	3115.199	15.857	26.305	8.038	-777.051	347.405	-2996.659	MNCB272	Molly											Labridae	Thalassoma	lunare	37384167	1	AD	Passing			
MNCB272_L511.avi	  56669	  31.5143				9.446	0.063	3624.941	8.982			384.344	448.092	-3576.547	MNCB272	Molly											Labridae	Thalassoma	lunare	37384167	6	AD	Passing			
MNCB272_L511.avi	  59776	  33.2421			268.789	16.106	5.427	2944.160	30.268	79.962	9.025	1346.533	623.726	-2542.811	MNCB272	Molly											Carangidae	Carangoides	orthogrammus	37337057	1	AD	Passing			
MNCB272_L511.avi	  59791	  33.2505			257.148	17.036	2.395	2999.793	29.899	88.265	9.473	1393.268	542.918	-2600.540	MNCB272	Molly											Carangidae	Carangoides	orthogrammus	37337057	1	AD	Passing			
MNCB272_L511.avi	  59791	  33.2505				5.988	16.429	2781.851	32.778			1372.194	642.057	-2333.139	MNCB272	Molly											Carangidae	Carangoides	orthogrammus	37337057	1	AD	Passing			
MNCB272_L511.avi	  73589	  40.9237			536.225	7.956	2.868	2656.683	22.071	24.035	14.565	903.581	424.358	-2461.996	MNCB272	Molly											Carangidae	Carangoides	fulvoguttatus	37337037	1	AD	Passing			
MNCB272_L511.avi	  73608	  40.9343			287.641	20.988	2.155	3493.446	13.932	48.236	13.332	-585.271	604.130	-3390.672	MNCB272	Molly											Labridae	Hologymnosus	annulatus	37384126	1	AD	Passing			
MNCB272_L511.avi	  74603	  41.4876			305.504	3.890	5.474	1556.795	0.943	38.675	5.131	24.190	-8.410	-1556.584	MNCB272	Molly											Lutjanidae	Lutjanus	lemniscatus	37346010	1	AD	Passing			
MNCB272_L511.avi	  74778	  41.5849			225.192	4.431	2.887	2088.648	7.689	22.785	10.151	-270.176	-71.334	-2069.871	MNCB272	Molly											Lutjanidae	Lutjanus	carponotatus	37346011	1	AD	Passing			
MNCB272_L511.avi	  74795	  41.5944			293.132	9.338	3.095	2757.390	25.758	26.014	16.090	-1191.176	130.463	-2483.401	MNCB272	Molly											Sparidae	Rhabdosargus	sarba	37353013	1	AD	Passing			
MNCB272_L511.avi	  74809	  41.6022			281.843	1.940	8.911	2161.872	1.731	5.989	6.518	-65.093	-5.035	-2160.886	MNCB272	Molly											Lutjanidae	Lutjanus	carponotatus	37346011	1	AD	Passing			
MNCB272_L511.avi	  74831	  41.6144			345.895	8.894	5.206	2849.024	27.567	16.962	17.887	-1308.046	165.619	-2525.574	MNCB272	Molly											Mullidae	Parupeneus	indicus	37355005	1	AD	Passing			
MNCB272_L511.avi	  74891	  41.6478			247.720	0.960	4.428	1361.720	0.623	3.334	12.122	3.101	-14.466	-1361.640	MNCB272	Molly											Serranidae	Epinephelus	bilobatus	37311062	1	AD	Passing			
MNCB272_L511.avi	  77140	  42.8985			167.377	5.631	4.785	2032.671	18.719	31.658	8.860	-652.048	-19.128	-1925.154	MNCB272	Molly											Labridae	Thalassoma	lutescens	37384168	1	AD	Passing			
MNCB272_L511.avi	  77150	  42.9040			186.011	12.713	2.829	2541.737	17.632	58.612	10.249	-749.004	178.067	-2422.336	MNCB272	Molly											Labridae	Thalassoma	lutescens	37384168	1	AD	Passing			
MNCB272_L511.avi	  77238	  42.9530			200.500	5.330	1.201	2424.518	21.904	6.826	11.524	-904.168	-23.406	-2249.494	MNCB272	Molly											Lethrinidae	Lethrinus	atkinsoni	37351013	1	AD	Passing			
MNCB272_L511.avi	  77258	  42.9641			222.185	2.021	5.273	1230.951	6.791	30.702	14.904	137.244	48.469	-1222.316	MNCB272	Molly											Lethrinidae	Lethrinus	atkinsoni	37351013	1	AD	Passing			
MNCB272_L511.avi	  77258	  42.9641				2.150	0.500	1686.551	1.498			7.477	-28.039	-1686.302	MNCB272	Molly											Lethrinidae	Lethrinus	atkinsoni	37351013	1	AD	Passing			
MNCB272_L511.avi	  77258	  42.9641				1.534	0.379	1380.549	4.931			112.925	-23.917	-1375.715	MNCB272	Molly											Lethrinidae	Lethrinus	atkinsoni	37351013	1	AD	Passing			
MNCB272_L511.avi	  77268	  42.9696			206.444	3.037	0.860	1768.551	23.406	6.687	8.585	-702.033	26.770	-1623.024	MNCB272	Molly											Lethrinidae	Lethrinus	atkinsoni	37351013	1	AD	Passing			
MNCB272_L511.avi	  77283	  42.9780			230.432	1.066	3.049	1426.232	5.500	16.023	73.990	113.570	76.061	-1419.667	MNCB272	Molly											Lethrinidae	Lethrinus	atkinsoni	37351013	1	AD	Passing			
MNCB272_L511.avi	  77441	  43.0658			195.068	3.892	1.523	1530.015	2.845	40.761	2.202	-64.625	39.879	-1528.130	MNCB272	Molly											Lethrinidae	Lethrinus	atkinsoni	37351013	1	AD	Passing			
MNCB272_L511.avi	  78130	  43.4490			383.948	10.586	3.497	3102.836	10.436	25.564	7.937	-504.363	248.061	-3051.504	MNCB272	Molly											Labridae	Coris	aygula	37384090	1	AD	Passing			
MNCB272_L511.avi	  78895	  43.8744			265.316	3.319	0.632	1615.344	23.107	26.812	5.343	-592.056	226.609	-1485.750	MNCB272	Molly											Lethrinidae	Lethrinus	nebulosus	37351008	1	AD	Passing			
MNCB272_L511.avi	  78920	  43.8883			262.214	3.160	1.524	1883.417	13.875	18.588	4.540	-289.750	346.465	-1828.460	MNCB272	Molly											Lethrinidae	Lethrinus	nebulosus	37351008	1	AD	Passing			
MNCB272_L511.avi	  78920	  43.8883			243.376	1.777	2.464	1363.757	18.579	12.977	12.188	421.504	105.474	-1292.688	MNCB272	Molly											Lethrinidae	Lethrinus	nebulosus	37351008	1	AD	Passing			
MNCB272_L511.avi	  78920	  43.8883			374.950	12.848	1.605	3345.181	7.361	29.040	15.343	46.898	425.985	-3317.615	MNCB272	Molly											Lethrinidae	Lethrinus	nebulosus	37351008	1	AD	Passing			
MNCB272_L511.avi	  79225	  44.0579			226.160	1.135	0.991	1647.791	3.038	0.605	16.388	82.017	29.995	-1645.475	MNCB272	Molly											Lethrinidae	Lethrinus	nebulosus	37351008	1	AD	Passing			
MNCB272_L511.avi	  82068	  45.6390			216.767	4.377	2.580	2742.610	13.786	2.383	7.193	-612.906	226.830	-2663.608	MNCB272	Molly											Acanthuridae	Naso	annulatus	37437024	1	AD	Passing			
MNCB272_L511.avi	  82640	  45.9571			162.673	3.845	0.820	1473.323	12.152	48.072	17.019	279.947	133.507	-1440.308	MNCB272	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	1	AD	Passing			
MNCB272_L511.avi	  82715	  45.9988			144.731	1.811	1.807	1534.855	12.045	13.448	25.729	-320.283	-3.124	-1501.062	MNCB272	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	1	AD	Passing			
